outcome_group,outcome,outcome_label,specification,omitted_cohort,full_beta,beta,cluster_se,webb_p,delta,pct_change,sign_flip,N,N_clusters,outcome_order,spec_order
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1997,-.0475631724061054,-.047311395,.021696519,.044904489,.00025177788,.52935469,0,28380,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1998,-.0475631724061054,-.062854305,.014281747,.0023002301,-.015291131,-32.149097,0,28822,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1999,-.0475631724061054,-.040886663,.017305318,.054205421,.0066765086,14.037139,0,29313,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,2000,-.0475631724061054,-.051417872,.020207433,.04960496,-.0038546985,-8.1043758,0,29695,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,2001,-.0475631724061054,-.045905832,.018868044,.052405242,.0016573409,3.4845047,0,30234,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,2002,-.0475631724061054,-.042846072,.01715963,.051205121,.0047170981,9.9175434,0,30570,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1992,-.0196079289579497,-.019286912,.0087309172,.045904592,.00032101726,1.6371809,0,26736,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1993,-.0196079289579497,-.020982809,.0083925929,.023602361,-.0013748799,-7.0118561,0,26766,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1994,-.0196079289579497,-.016072381,.0077195778,.058505852,.0035355473,18.031214,0,27175,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1995,-.0196079289579497,-.019847522,.008562291,.034003399,-.00023959285,-1.2219182,0,27560,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1996,-.0196079289579497,-.018888056,.0085880738,.04350435,.00071987178,3.67133,0,27859,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1997,-.0196079289579497,-.019781046,.0078794966,.01420142,-.00017311647,-.88289011,0,28380,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1998,-.0196079289579497,-.022390222,.0087520871,.01110111,-.0027822934,-14.189634,0,28822,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,1999,-.0196079289579497,-.015237623,.0071888496,.044104412,.0043703062,22.288464,0,29313,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,2000,-.0196079289579497,-.02722517,.0076191304,.044604462,-.0076172422,-38.847767,0,29695,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,2001,-.0196079289579497,-.020126803,.010075614,.058205821,-.00051887456,-2.6462488,0,30234,10,4,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Intensity,2002,-.0196079289579497,-.017040625,.0083911475,.052705269,.0025673034,13.09319,0,30570,10,4,2
QoE,qoe_income_deprivation50,Income deprivation,Binary DiD,1992,-.0508454715139989,-.050395686,.014207086,.0024002399,.00044978509,.8846119,0,26736,10,5,1
